Label,Damage Descriptions
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
1,"Deguang Catholic Senior High School; five 5-story concrete buildings, including San-Sing (retrofitted with steel columns and shear wall), Si-San, Si-Sheng, Si-Tian, and Jin-Syue buildings"
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,Damaged 3 story office building.
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
3,"Marketplace partial collapse, 4 story building."
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
2,Damaged 3 story office building.
1,Fuqian Residential Building; 11-story R/C Blog and onr-story basement; Shear cracks in piers at 3rd-5th floors.
1,Fuqian Residential Building; 11-story R/C Blog and onr-story basement; Shear cracks in piers at 3rd-5th floors.
1,Fuqian Residential Building; 11-story R/C Blog and onr-story basement; Shear cracks in piers at 3rd-5th floors. Shear cracks.
2,Fuqian Residential Building; 11-story R/C Blog and onr-story basement; Shear cracks in piers at 3rd-5th floors. Shear cracks.
1,Fuqian Residential Building; 11-story R/C Blog and onr-story basement; Shear cracks in piers at 3rd-5th floors. Shear cracks.
2,Fuqian Residential Building; 11-story R/C Blog and onr-story basement; Shear cracks in piers at 3rd-5th floors.
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
3,Collapse Demolition
2,The Taiwan Confuscian Temple was built in 1665 and repaired in 1683. The temple is a Southern China style courtyard structure with only simple decorations.
2,The Taiwan Confuscian Temple was built in 1665 and repaired in 1683. The temple is a Southern China style courtyard structure with only simple decorations.
2,The Taiwan Confuscian Temple was built in 1665 and repaired in 1683. The temple is a Southern China style courtyard structure with only simple decorations.
2,The Taiwan Confuscian Temple was built in 1665 and repaired in 1683. The temple is a Southern China style courtyard structure with only simple decorations.
2,Guei Ren Junior High School; five-story reinforced concrete buildings; some retrofit and some without retrofit; inclined crack at wall pier
2,Guei Ren Junior High School; five-story reinforced concrete buildings; some retrofit and some without retrofit; inclined crack at wall pier
2,Guei Ren Junior High School; five-story reinforced concrete buildings; some retrofit and some without retrofit; crack at column
2,Guei Ren Junior High School; five-story reinforced concrete buildings; some retrofit and some without retrofit; crack at column
2,Guei Ren Junior High School; five-story reinforced concrete buildings; some retrofit and some without retrofit; crack at column
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
1,"Tainan Power Company - Zhongyi Road, Section 1, West Central district, Spandrel & pier cracking, 8-story R/C building"
